PropertyId,RealProperty,Capacity,Square,PropertyType,NumBedrooms,ReadyDate
43630,Yes,7,141,Apartment,3,25/09/2024
43622,Yes,4,70,Apartment,2,12/08/2024
43620,Yes,2,55,Apartment,1,04/08/2024
43606,Yes,4,60,Apartment,2,27/06/2024
43590,Yes,7,105,Apartment,4,19/09/2024
43589,Yes,4,66,Apartment,3,27/07/2024
43588,Yes,4,66,Apartment,3,09/07/2024
43583,Yes,7,141,Apartment,3,18/05/2024
43578,Yes,10,92,Apartment,4,25/05/2024
43574,Yes,2,51,Apartment,1,26/06/2024
43573,Yes,4,53,Apartment,2,16/06/2024
43552,Yes,2,28,Apartment,1,26/03/2024
43518,Yes,4,40,Apartment,1,24/05/2024
43517,Yes,4,64,Apartment,1,24/05/2024
43516,Yes,4,70,Apartment,2,20/03/2024
43532,Yes,2,70,Apartment,1,26/03/2024
43531,Yes,7,70,Apartment,3,20/03/2024
43530,Yes,4,70,Apartment,2,20/03/2024
43529,Yes,4,70,Apartment,2,20/03/2024
43537,Yes,4,70,Apartment,2,25/03/2024
43527,Yes,7,70,Apartment,3,25/03/2024
43525,Yes,4,70,Apartment,2,05/04/2024
43526,Yes,4,70,Apartment,2,25/03/2024
43524,Yes,2,70,Apartment,1,26/03/2024
43522,Yes,4,70,Apartment,2,20/03/2024
43521,Yes,4,70,Apartment,2,20/03/2024
43520,Yes,2,70,Apartment,1,03/04/2024
43519,Yes,7,70,Apartment,3,31/05/2024
43515,Yes,4,70,Apartment,2,20/03/2024
43533,Yes,3,70,Apartment,1,21/05/2024
43534,Yes,6,70,Apartment,3,25/03/2024
43528,Yes,2,70,Apartment,1,26/03/2024
43548,Yes,4,70,Apartment,2,20/03/2024
43547,Yes,4,70,Apartment,2,06/04/2024
43545,Yes,3,70,Apartment,1,25/03/2024
43544,Yes,4,70,Apartment,2,25/03/2024
43543,Yes,4,70,Apartment,2,25/03/2024
43542,Yes,6,70,Apartment,3,25/03/2024
43535,Yes,4,70,Apartment,2,25/03/2024
43536,Yes,3,70,Apartment,1,20/03/2024
43538,Yes,6,70,Apartment,3,20/03/2024
43539,Yes,4,70,Apartment,2,20/03/2024
43540,Yes,4,70,Apartment,2,26/03/2024
43541,Yes,3,70,Apartment,1,07/09/2024
43502,Yes,4,51,Apartment,2,17/05/2024
43499,Yes,8,95,Apartment,4,26/03/2024
43498,Yes,6,99,Apartment,3,26/03/2024
43496,Yes,5,68,Apartment,4,17/04/2024
43495,Yes,6,67,Apartment,4,07/06/2024
43493,Yes,4,50,Apartment,2,23/02/2024
43492,Yes,5,67,Apartment,4,29/05/2024
43491,Yes,5,68,Apartment,3,29/05/2024
43621,Yes,5,64,Apartment,4,20/09/2024
43485,Yes,5,64,Apartment,4,24/01/2024
43486,Yes,5,68,Apartment,3,24/02/2024
