PropertyId,RealProperty,Capacity,Square,PropertyType,NumBedrooms,ReadyDate,MeanPerNight
43630,Yes,7,141,Apartment,3,25/09/2024,303.79
43622,Yes,4,70,Apartment,2,12/08/2024,67.69
43620,Yes,2,55,Apartment,1,04/08/2024,198.12
43606,Yes,4,60,Apartment,2,27/06/2024,233.43
43590,Yes,7,105,Apartment,4,19/09/2024,264.97
43589,Yes,4,66,Apartment,3,27/07/2024,233.14
43588,Yes,4,66,Apartment,3,09/07/2024,236.39
43583,Yes,7,141,Apartment,3,18/05/2024,335.62
43578,Yes,10,92,Apartment,4,25/05/2024,294.89
43574,Yes,2,51,Apartment,1,26/06/2024,68.97
43573,Yes,4,53,Apartment,2,16/06/2024,73.4
43552,Yes,2,28,Apartment,1,26/03/2024,189.8
43518,Yes,4,40,Apartment,1,24/05/2024,64.75
43517,Yes,4,64,Apartment,1,24/05/2024,78.03
43516,Yes,4,70,Apartment,2,20/03/2024,257.34
43532,Yes,2,70,Apartment,1,26/03/2024,226.38
43531,Yes,7,70,Apartment,3,20/03/2024,335.4
43530,Yes,4,70,Apartment,2,20/03/2024,273.93
43529,Yes,4,70,Apartment,2,20/03/2024,253.23
43537,Yes,4,70,Apartment,2,25/03/2024,272.13
43527,Yes,7,70,Apartment,3,25/03/2024,337.62
43525,Yes,4,70,Apartment,2,05/04/2024,277.9
43526,Yes,4,70,Apartment,2,25/03/2024,270.94
43524,Yes,2,70,Apartment,1,26/03/2024,228.24
43522,Yes,4,70,Apartment,2,20/03/2024,257.22
43521,Yes,4,70,Apartment,2,20/03/2024,275.78
43520,Yes,2,70,Apartment,1,03/04/2024,206.55
43519,Yes,7,70,Apartment,3,31/05/2024,362.22
43515,Yes,4,70,Apartment,2,20/03/2024,236.18
43533,Yes,3,70,Apartment,1,21/05/2024,227.11
43534,Yes,6,70,Apartment,3,25/03/2024,363.9
43528,Yes,2,70,Apartment,1,26/03/2024,210.5
43548,Yes,4,70,Apartment,2,20/03/2024,264.27
43547,Yes,4,70,Apartment,2,06/04/2024,258.79
43545,Yes,3,70,Apartment,1,25/03/2024,235.55
43544,Yes,4,70,Apartment,2,25/03/2024,263.14
43543,Yes,4,70,Apartment,2,25/03/2024,269.19
43542,Yes,6,70,Apartment,3,25/03/2024,348.03
43535,Yes,4,70,Apartment,2,25/03/2024,290.44
43536,Yes,3,70,Apartment,1,20/03/2024,222.75
43538,Yes,6,70,Apartment,3,20/03/2024,336.78
43539,Yes,4,70,Apartment,2,20/03/2024,277.46
43540,Yes,4,70,Apartment,2,26/03/2024,285.2
43541,Yes,3,70,Apartment,1,07/09/2024,208.65
43502,Yes,4,51,Apartment,2,17/05/2024,201.72
43499,Yes,8,95,Apartment,4,26/03/2024,332.56
43498,Yes,6,99,Apartment,3,26/03/2024,220.5
43496,Yes,5,68,Apartment,4,17/04/2024,226.75
43495,Yes,6,67,Apartment,4,07/06/2024,285.1
43493,Yes,4,50,Apartment,2,23/02/2024,212.58
43492,Yes,5,67,Apartment,4,29/05/2024,244.09
43491,Yes,5,68,Apartment,3,29/05/2024,234.52
43621,Yes,5,64,Apartment,4,20/09/2024,234.59
43485,Yes,5,64,Apartment,4,24/01/2024,244.51
43486,Yes,5,68,Apartment,3,24/02/2024,242.11
43470,Yes,4,44,Apartment,1,23/02/2024,158.74
43474,Yes,4,44,Apartment,1,23/02/2024,163.66
43461,Yes,4,66,Apartment,2,02/01/2024,275.12
43448,Yes,2,38,Apartment,1,24/10/2023,128.69
